title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src,type,stars_list,genre_list,rating_norm,runtime_norm
Lost at Christmas,,100.0,5.1,,"Comedy, Drama, Romance",2020.0,Two down-on-their-luck strangers come together to try and get home for Christmas.,Ryan Hendrick,"Natalie Clark, Kenny Boyle, Sylvester McCoy, Clare Grogan, ",699,,"https://m.media-amazon.com/images/M/MV5BZjlmYmNkOGUtZWNjNy00YWU5LTk4YTYtNmU2N2ZhMGZjMWY2XkEyXkFqcGdeQXVyNDc5MTE0MTk@._V1_UY209_CR4,0,140,209_AL_.jpg",Movie,"['Natalie Clark', 'Kenny Boyle', 'Sylvester McCoy', 'Clare Grogan']","['Comedy', 'Drama', 'Romance']",0.4810126582278481,0.5
A Christmas Carol: The Musical,Not Rated,97.0,6.3,,"Drama, Fantasy, Musical",2004.0,An old bitter miser is given a chance for redemption when he is haunted by ghosts on Christmas Eve.,Arthur Allan Seidelman,"Kelsey Grammer, Jesse L. Martin, Jane Krakowski, Jennifer Love Hewitt, ","2,170",,"https://m.media-amazon.com/images/M/MV5BMzdjYmUyMzMtYTc5OS00N2EzLTkwMTQtNzRjN2RmNzM5MTE1XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UY209_CR5,0,140,209_AL_.jpg",Movie,"['Kelsey Grammer', 'Jesse L. Martin', 'Jane Krakowski', 'Jennifer Love Hewitt']","['Drama', 'Fantasy', 'Musical']",0.6329113924050633,0.48484848484848486
Angel Falls Christmas,,84.0,5.0,,"Drama, Romance",2021.0,A devoted doctor with little time for the Christmas spirit is in desperate need of an intervention from the unlikeliest of places.,Jerry Ciccoritti,"Chad Michael Murray, Jessica Lowndes, David Reale, Samora Smallwood, ","3,822",,"https://m.media-amazon.com/images/M/MV5BNjRjODhmYjEtZWNhYi00NWEzLTkzOWQtZWNmNGU3NzkxMjNjXkEyXkFqcGdeQXVyNjMxMDE4Mjc@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie,"['Chad Michael Murray', 'Jessica Lowndes', 'David Reale', 'Samora Smallwood']","['Drama', 'Romance']",0.4683544303797469,0.41919191919191917
Take Me Back for Christmas,TV-G,84.0,7.1,,"Comedy, Fantasy, Romance",2023.0,"After a particularly disheartening work day at her local gift shop, Renée makes a Christmas wish for a different life.",Corey Sevier,"Vanessa Lengies, Corey Sevier, Paula Boudreau, Kimberly-Ann Truong, ",967,,"https://m.media-amazon.com/images/M/MV5BZjk0NzhhOGEtY2E0Ni00ZDNkLWJhNDItNzZhZjViNWRkYzAzXkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Vanessa Lengies', 'Corey Sevier', 'Paula Boudreau', 'Kimberly-Ann Truong']","['Comedy', 'Fantasy', 'Romance']",0.7341772151898734,0.41919191919191917
Never Kiss a Man in a Christmas Sweater,TV-G,84.0,6.7,,"Comedy, Romance",2020.0,Maggie is facing Christmas alone until Lucas become an unexpected house guest.,Allan Harmon,"Ashley Williams, Niall Matter, Lisa MacFadden, Brendon Zub, ","2,129",,"https://m.media-amazon.com/images/M/MV5BZWJkZjQ5YjgtNmM3Yi00OTEwLTk3NGQtNGZhYWYyN2U4MzZjXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Ashley Williams', 'Niall Matter', 'Lisa MacFadden', 'Brendon Zub']","['Comedy', 'Romance']",0.6835443037974684,0.41919191919191917
Rudolph the Red-Nosed Reindeer: The Movie,G,83.0,5.8,,"Animation, Adventure, Family",1998.0,It's up to Santa's most famous reindeer to save the day when an evil queen conjures up a storm on Christmas.,William R. Kowalchuk Jr.,"John Goodman, Bob Newhart, Debbie Reynolds, Eric Pospisil, ","3,082",$0.11M,"https://m.media-amazon.com/images/M/MV5BZjQyMmQ0OTQtZTBjZC00OTNjLWFiNGEtOTQxNWIyOGVhMGVlXkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['John Goodman', 'Bob Newhart', 'Debbie Reynolds', 'Eric Pospisil']","['Animation', 'Adventure', 'Family']",0.569620253164557,0.41414141414141414
A Cozy Christmas Inn,TV-G,84.0,6.0,,"Comedy, Romance",2022.0,Real-estate exec Erika travels to Alaska during the holidays to acquire a bed-and-breakfast and discover that it's owned by her ex. Soon she falls in love with the town...and maybe with him again?,Peter Sullivan,"Jodie Sweetin, David O'Donnell, Vivica A. Fox, Brian Doyle-Murray, ","1,004",,"https://m.media-amazon.com/images/M/MV5BNGUxMjMxN2EtNDU1ZC00NmRhLWEyNWMtNDM3ZTlhOTc0YzU4XkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie,"['Jodie Sweetin', ""David O'Donnell"", 'Vivica A. Fox', 'Brian Doyle-Murray']","['Comedy', 'Romance']",0.5949367088607596,0.41919191919191917
One Royal Holiday,TV-G,87.0,7.0,,"Drama, Romance",2020.0,"When Anna offers a stranded mother and son shelter in a blizzard, she learns that they are the Royal Family of Galwick. Anna shows the Prince how they do Christmas in her hometown, encouraging him to open his heart and be true to himself.",Dustin Rikert,"Laura Osnes, Krystal Joy Brown, Tom McGowan, Bradley Rose, ","2,420",,"https://m.media-amazon.com/images/M/MV5BN2YyZTFjMWMtMGZkMS00MGQ5LWE2ZTktNGIxMWMxN2Y3MjZjXkEyXkFqcGdeQXVyMjkwMjY1MjI@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Laura Osnes', 'Krystal Joy Brown', 'Tom McGowan', 'Bradley Rose']","['Drama', 'Romance']",0.7215189873417722,0.43434343434343436
The Princess Switch 3,TV-PG,106.0,5.5,,"Comedy, Drama, Family",2021.0,"When a priceless relic is stolen, Queen Margaret and Princess Stacy enlist the help of Margaret's cousin Fiona teams with a man from her past to retrieve it, with romance and resulting in a very unexpected switch.",Mike Rohl,"Vanessa Hudgens, Remy Hii, Sam Palladio, Nick Sagar, ","7,318",,"https://m.media-amazon.com/images/M/MV5BNTRhYzQ1MTEtYjRhZS00NmJkLWE5NzMtNWQ2YzlmMzlmNDI5XkEyXkFqcGdeQXVyNjEwMDM4NTQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Vanessa Hudgens', 'Remy Hii', 'Sam Palladio', 'Nick Sagar']","['Comedy', 'Drama', 'Family']",0.5316455696202532,0.5303030303030303
The Spirit of Christmas,Unrated,91.0,6.4,,"Drama, Mystery, Romance",2015.0,"12 days before Christmas, Kate is trying to close the sale of a historic inn, only to find Daniel, the ghost of a man who died a century ago, and he needs her help to unravel the mystery of his annual holiday haunting.",David Jackson,"Thomas Beaudoin, Kati Salowsky, Steven A. Miller, Jen Lilley, ","7,826",,"https://m.media-amazon.com/images/M/MV5BYzcyM2MxNzMtYzEzNi00MjRlLWI2YTItM2U0MWZlZDVkNjNhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTU5MjU5MTM@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Thomas Beaudoin', 'Kati Salowsky', 'Steven A. Miller', 'Jen Lilley']","['Drama', 'Mystery', 'Romance']",0.6455696202531647,0.45454545454545453
Five Star Christmas,TV-G,84.0,6.9,,"Comedy, Romance",2020.0,"When a travel writer shows up unexpectedly at their dad's Bed and Breakfast, the Ralston family all pretend to be guests in hopes of a good review. Lucy (Bethany Joy Lenz) falls for guest Jake (Victor Webster), but can't share her secret.",Christie Will Wolf,"Bethany Joy Lenz, Victor Webster, Robert Wisden, Laura Soltis, ","2,582",,"https://m.media-amazon.com/images/M/MV5BYTUzOGFmOTUtMTJlYS00Njg0LTliY2YtMjJiYWEzZTQxNDlkXkEyXkFqcGdeQXVyOTUyNjcyNA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Bethany Joy Lenz', 'Victor Webster', 'Robert Wisden', 'Laura Soltis']","['Comedy', 'Romance']",0.708860759493671,0.41919191919191917
Holiday,Passed,95.0,7.7,,"Comedy, Romance",1938.0,A young man in love with a girl from a rich family finds his unorthodox plan to go on holiday for the early years of his life met with skepticism by everyone except for his fiancée's eccentric sister and long-suffering brother.,George Cukor,"Katharine Hepburn, Cary Grant, Doris Nolan, Lew Ayres, ","17,728",,"https://m.media-amazon.com/images/M/MV5BOTM2ZjA3ZGQtNTlkMS00MzdhLWE2MDgtODg4ZjAzMTdiNzZmXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Katharine Hepburn', 'Cary Grant', 'Doris Nolan', 'Lew Ayres']","['Comedy', 'Romance']",0.8101265822784811,0.47474747474747475
A Sunburnt Christmas,,91.0,6.9,,Comedy,2020.0,"On an outback farm ravaged by drought, the lives of a struggling family are upended when a runaway criminal dressed as Santa Claus crashes onto their property.",Christiaan Van Vuuren,"Daniel Henshall, Natasha Wanganeen, Chris Duncan, Sullivan Stapleton, ",811,,"https://m.media-amazon.com/images/M/MV5BNzJiMDk5MDItNWE4Yy00NDA1LTg0N2UtNzgyYzU4MjJlOGYzXkEyXkFqcGdeQXVyNjM5MTE4ODE@._V1_UY209_CR3,0,140,209_AL_.jpg",Movie,"['Daniel Henshall', 'Natasha Wanganeen', 'Chris Duncan', 'Sullivan Stapleton']",['Comedy'],0.708860759493671,0.45454545454545453
The Most Wonderful Time of the Year,TV-PG,88.0,7.3,,"Comedy, Drama, Family",2008.0,"Corporate analyst and single mom, Jen, tackles Christmas with a business-like approach until her uncle arrives with a handsome stranger in tow.",Michael M. Scott,"Brooke Burns, Henry Winkler, Warren Christie, Connor Christopher Levins, ","4,827",,"https://m.media-amazon.com/images/M/MV5BNmNiMTYzYzEtNTMzZi00ZDdhLWJkMDItYWQ1Mzg3YTQ4OWYzXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie,"['Brooke Burns', 'Henry Winkler', 'Warren Christie', 'Connor Christopher Levins']","['Comedy', 'Drama', 'Family']",0.759493670886076,0.4393939393939394
Christmas in the Smokies,TV-G,88.0,5.8,,"Drama, Family, Romance",2015.0,Christmas in the Smokies is a modern-day Christmas classic set in the beautiful Smoky Mountains that tells the story of one family's journey to save their historic berry farm against all odds during one fateful holiday season.,Gary Wheeler,"Sarah Lancaster, Barry Corbin, Alan Powell, Jill Wagner, ","1,705",,"https://m.media-amazon.com/images/M/MV5BMTU4MTk5ODk3N15BMl5BanBnXkFtZTgwNDQ0MTg5NjE@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Sarah Lancaster', 'Barry Corbin', 'Alan Powell', 'Jill Wagner']","['Drama', 'Family', 'Romance']",0.569620253164557,0.4393939393939394
Christmas Under Wraps,TV-G,88.0,6.2,,"Comedy, Drama, Romance",2014.0,"When an aspiring surgeon is turned down for a fellowship, she takes a temporary position working as a GP in a small Alaskan town in an effort to boost her résumé.",Peter Sullivan,"Candace Cameron Bure, David O'Donnell, Robert Pine, Kendra Mylnechuk, ","6,172",,"https://m.media-amazon.com/images/M/MV5BNjcwMjkwNTE0MF5BMl5BanBnXkFtZTgwNTQ5Mjg1MzE@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Candace Cameron Bure', ""David O'Donnell"", 'Robert Pine', 'Kendra Mylnechuk']","['Comedy', 'Drama', 'Romance']",0.6202531645569621,0.4393939393939394
The Christmas House,TV-G,84.0,6.0,,"Drama, Romance",2020.0,"Working through some difficult decisions, a mother and father summon their two grown sons home for the holidays.",Michael Grossman,"Robert Buckley, Ana Ayora, Treat Williams, Sharon Lawrence, ","2,602",,"https://m.media-amazon.com/images/M/MV5BYTE2MGI0OTAtNWNjOS00NjE0LWJkZmQtNGVhODZhN2M3MzAwXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Robert Buckley', 'Ana Ayora', 'Treat Williams', 'Sharon Lawrence']","['Drama', 'Romance']",0.5949367088607596,0.41919191919191917
Letters to Santa,TV-G,84.0,5.9,,"Comedy, Romance",2023.0,"During the holidays, young siblings utilize a magical pen that grants wishes to bring their estranged parents back together.",John Stimpson,"Harry Aspinwall, Laura Cerón, Rafael de la Fuente, Lonnie Farmer, ",519,,"https://m.media-amazon.com/images/M/MV5BZTVkNDFmZTUtMTAxNS00MjBkLTgyOTAtZGFiNTIwYzRlYjI0XkEyXkFqcGdeQXVyNDI3NjA5MTY@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Harry Aspinwall', 'Laura Cerón', 'Rafael de la Fuente', 'Lonnie Farmer']","['Comedy', 'Romance']",0.5822784810126583,0.41919191919191917
Christmas at the Chalet,TV-PG,84.0,6.6,,Romance,2023.0,"Ex-TV host Lex finds herself spending Christmas in a chalet with her son, ex-husband, and his new girlfriend. To avoid things getting too close to home, she volunteers to work at the chalet, all while documenting it for her new followers.",Lucie Guest,"Teri Hatcher, William deVry, Dan Payne, Brendan McRae, ",404,,"https://m.media-amazon.com/images/M/MV5BOGUxNTI1YTUtNWFjZC00MGUyLThjN2MtNzFhY2NiMWRkOTVmXkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie,"['Teri Hatcher', 'William deVry', 'Dan Payne', 'Brendan McRae']",['Romance'],0.6708860759493671,0.41919191919191917
The Little Drummer Boy,Not Rated,25.0,6.9,,"Animation, Drama, Family",1968.0,An orphan drummer boy who hates humanity finds his life changed forever when he meets three wise men en route to Bethlehem.,Jules Bass,"Arthur Rankin Jr., Takeya Nakamura, José Ferrer, Paul Frees, June Foray, Ted Eccles, ","6,213",,"https://m.media-amazon.com/images/M/MV5BOWM3N2JkODgtZWJlMy00ZWQ5LTg0ZjAtOTI1ZWFhOWU4ZTUxXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Arthur Rankin Jr.', 'Takeya Nakamura', 'José Ferrer', 'Paul Frees', 'June Foray', 'Ted Eccles']","['Animation', 'Drama', 'Family']",0.708860759493671,0.12121212121212122
The Holiday Calendar,TV-PG,95.0,5.7,,"Drama, Fantasy, Romance",2018.0,"A struggling but talented photographer inherits an antique holiday advent calendar, the contents of which seem to predict the future. Will this magical calendar lead her to love this holiday season?",Bradley Walsh,"Kat Graham, Quincy Brown, Ethan Peck, Ron Cephas Jones, ","11,286",,"https://m.media-amazon.com/images/M/MV5BY2ZhYWRlMWYtMDA2YS00ZDQ5LWFmMzctZjg2ZDAwOThmNmJjXkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Kat Graham', 'Quincy Brown', 'Ethan Peck', 'Ron Cephas Jones']","['Drama', 'Fantasy', 'Romance']",0.5569620253164558,0.47474747474747475
An Affair to Remember,Not Rated,115.0,7.4,71.0,"Drama, Romance",1957.0,A couple falls in love and agrees to meet in six months at the Empire State Building - but will it happen?,Leo McCarey,"Cary Grant, Deborah Kerr, Richard Denning, Neva Patterson, ","32,465",,"https://m.media-amazon.com/images/M/MV5BN2M3YjI1YTUtNDFlOS00MGNiLWExZjctNjY1ODFhYjYxMWMwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Cary Grant', 'Deborah Kerr', 'Richard Denning', 'Neva Patterson']","['Drama', 'Romance']",0.7721518987341773,0.5757575757575758
A Blue Ridge Mountain Christmas,TV-G,84.0,6.2,,Family,2019.0,"Hotel manager Willow returns to her stunning Virginia hometown to help her sister plan a Christmas wedding at the inn her family once owned. She must work with current owner and single dad David, who wants to let go of the past.",David Winning,"Rachael Leigh Cook, Benjamin Ayres, Christie Burke, Chilton Crane, ","1,366",,"https://m.media-amazon.com/images/M/MV5BNzlhOTM0NWEtZDU2MS00NjAzLWI5YWMtZDQ2ZDAxMTIzOTk3XkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Rachael Leigh Cook', 'Benjamin Ayres', 'Christie Burke', 'Chilton Crane']",['Family'],0.6202531645569621,0.41919191919191917
Anne of Green Gables,TV-G,199.0,8.5,,"Drama, Family",1985.0,"An orphan girl, sent to an elderly brother and sister by mistake, charms her new home and community with her fiery spirit and imagination.",Megan Follows,"Colleen Dewhurst, Richard Farnsworth, Patricia Hamilton, ","22,265",,"https://m.media-amazon.com/images/M/MV5BNjBmYjU2YjQtNjc3NS00NmMzLTk3OWUtNDM0ZDEyOGQ4ZWI0XkEyXkFqcGdeQXVyMzU3MTc5OTE@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie,"['Colleen Dewhurst', 'Richard Farnsworth', 'Patricia Hamilton']","['Drama', 'Family']",0.9113924050632912,1.0
Rent,PG-13,135.0,6.8,53.0,"Drama, Musical, Romance",2005.0,"This is the film version of the Pulitzer and Tony Award winning musical about Bohemians in the East Village of New York City struggling with life, love and AIDS, and the impacts they have on America.",Chris Columbus,"Taye Diggs, Wilson Jermaine Heredia, Rosario Dawson, Anthony Rapp, ","55,464",$29.08M,"https://m.media-amazon.com/images/M/MV5BOTNmZWI2NzItNmNmMC00ZGY2LWE4ZTAtNjMxZTJiZWUwMzAyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Taye Diggs', 'Wilson Jermaine Heredia', 'Rosario Dawson', 'Anthony Rapp']","['Drama', 'Musical', 'Romance']",0.6962025316455697,0.6767676767676768
Three Wishes for Cinderella,,88.0,7.7,,"Drama, Fantasy, Family",1973.0,Life changes dramatically for a Czech housemaid when the family coachman gives her three magical hazelnuts.,Václav Vorlícek,"Libuse Safránková, Pavel Trávnícek, Carola Braunbock, Rolf Hoppe, ","11,075",,"https://m.media-amazon.com/images/M/MV5BODM4YjAxODMtMjY4Ni00YjRiLTk4NzgtNTI0MGZlOWY4NzViXkEyXkFqcGdeQXVyOTg0ODEzODI@._V1_UY209_CR3,0,140,209_AL_.jpg",Movie,"['Libuse Safránková', 'Pavel Trávnícek', 'Carola Braunbock', 'Rolf Hoppe']","['Drama', 'Fantasy', 'Family']",0.8101265822784811,0.4393939393939394
By the Light of the Silvery Moon,Approved,101.0,7.0,,"Comedy, Family, Musical",1953.0,"Marjorie Winfield's engagement to Bill Sherman, who has just arrived home from fighting in World War I, serves as the backdrop for the trials and tribulations of her family.",David Butler,"Doris Day, Gordon MacRae, Leon Ames, Rosemary DeCamp, ","2,442",,"https://m.media-amazon.com/images/M/MV5BODU2YzRmYjktN2NkYy00M2RhLTgzZjAtNzhmMzdjYzgzMzgxXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Doris Day', 'Gordon MacRae', 'Leon Ames', 'Rosemary DeCamp']","['Comedy', 'Family', 'Musical']",0.7215189873417722,0.5050505050505051
Christmas Made to Order,TV-G,80.0,5.7,,Romance,2018.0,"A Hallmark Channel original movie. When architect and Christmas amateur Steven (Jonathan Bennett) finds himself hosting his family for Christmas, he recruits holiday coordinator Gretchen (Alexa PenaVega) to bring holiday joy to his home.",Sam Irvin,"Alexa PenaVega, Jonathan Bennett, Jo Marie Payton, Jacob Young, ","4,906",,"https://m.media-amazon.com/images/M/MV5BOGI2MGQwMGUtOTVjOS00MTAwLTgyM2MtMzU1MjcwNTE5MTg0XkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UY209_CR87,0,140,209_AL_.jpg",Movie,"['Alexa PenaVega', 'Jonathan Bennett', 'Jo Marie Payton', 'Jacob Young']",['Romance'],0.5569620253164558,0.398989898989899
Nativity 2: Danger in the Manger!,Not Rated,105.0,5.3,,"Comedy, Family",2012.0,A worried new teacher has to juggle a pregnant wife and a class of children on a road trip to the National 'Song for Christmas' Competition.,Debbie Isitt,"David Tennant, Marc Wootton, Jason Watkins, Joanna Page, ","4,279",,"https://m.media-amazon.com/images/M/MV5BMTYzMDM0MzM0Ml5BMl5BanBnXkFtZTgwNjIxMTkyMTE@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie,"['David Tennant', 'Marc Wootton', 'Jason Watkins', 'Joanna Page']","['Comedy', 'Family']",0.5063291139240507,0.5252525252525253
In the Good Old Summertime,Approved,102.0,7.1,,"Comedy, Musical, Romance",1949.0,"In turn-of-the century America, Andrew and Veronica are co-workers in a music shop who dislike one another during business hours but unwittingly carry on an anonymous romance through the mail.",Robert Z. Leonard,"Judy Garland, Van Johnson, S.Z. Sakall, Spring Byington, ","4,225",$6.30M,"https://m.media-amazon.com/images/M/MV5BM2I0OWUwOTUtOGQxZS00NGVkLWFjMDktNDI0ZWFkM2ViY2M3XkEyXkFqcGdeQXVyNzE2NDk3NTY@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Judy Garland', 'Van Johnson', 'S.Z. Sakall', 'Spring Byington']","['Comedy', 'Musical', 'Romance']",0.7341772151898734,0.51010101010101
The Santa Summit,TV-G,84.0,6.9,,Romance,2023.0,"At a Santa themed holiday event, three teachers get their groove back, strengthen their friendship, and unexpectedly find love along the way.",Jeff Beesley,"Hunter King, Benjamin Hollingsworth, Amy Groening, Stephanie Sy, ",997,,"https://m.media-amazon.com/images/M/MV5BOGEzMGIxYWMtNGRiNy00NmFjLTljZjMtMmYzMzA4NmQ5NWVjXkEyXkFqcGdeQXVyMTI2MDU4OTY0._V1_UY209_CR1,0,140,209_AL_.jpg",Movie,"['Hunter King', 'Benjamin Hollingsworth', 'Amy Groening', 'Stephanie Sy']",['Romance'],0.708860759493671,0.41919191919191917
On the 12th Date of Christmas,TV-G,84.0,7.2,,"Comedy, Romance",2020.0,"Two game creators, both vying for a promotion, must team up to create a Christmas scavenger hunt.",Gary Yates,"Mallory Jansen, Tyler Hynes, Cherissa Richards, Clare Filipow, ","2,367",,"https://m.media-amazon.com/images/M/MV5BN2U2ZjJjNzgtNDk0NS00YTgwLThhM2QtNTVlMzE1OTcxYjFkXkEyXkFqcGdeQXVyNjMwMjI2OTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Mallory Jansen', 'Tyler Hynes', 'Cherissa Richards', 'Clare Filipow']","['Comedy', 'Romance']",0.7468354430379748,0.41919191919191917
A Christmas Wish,Not Rated,97.0,6.5,,"Comedy, Drama, Family",2011.0,"Abandoned by her husband a few days before Christmas, Martha Evans travels cross-country with the kids in search of work.",Craig Clyde,"Kristy Swanson, Edward Herrmann, K.C. Clyde, Tess Harper, ","2,098",,"https://m.media-amazon.com/images/M/MV5BMTgyNTgzNDI5M15BMl5BanBnXkFtZTgwNDczNDA2MDE@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie,"['Kristy Swanson', 'Edward Herrmann', 'K.C. Clyde', 'Tess Harper']","['Comedy', 'Drama', 'Family']",0.6582278481012659,0.48484848484848486
Christmas on 5th Avenue,,84.0,6.5,,Romance,2021.0,Hopeless romantic Eva Jordan decorates a spectacular Manhattan Penthouse for Christmas and brings moody writer Lucas Blade some joy for the holidays.,Amy Force,"Kathryn Davis, Olivier Renaud, Kara Duncan, Derick Agyemang, ",475,,"https://m.media-amazon.com/images/M/MV5BZWQ2YWFjMjAtNjZiYy00Y2U1LWE5MWYtYmNhMzhkYjBhNWY4XkEyXkFqcGdeQXVyNjI4Mzg5OTg@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Kathryn Davis', 'Olivier Renaud', 'Kara Duncan', 'Derick Agyemang']",['Romance'],0.6582278481012659,0.41919191919191917
Barbie in the Nutcracker,TV-Y,76.0,6.3,,"Animation, Family, Musical",2001.0,"Barbie (Kelly Sheridan) shows that if you are kind, clever and brave, anything is possible in this tale of Clara (Kelly Sheridan) and her amazing Nutcracker (Kirby Morrow), who set off on an adventure to find the Sugarplum Princess.",Owen Hurley,"Kelly Sheridan, Kirby Morrow, Tim Curry, Peter Kelamis, ","7,855",,"https://m.media-amazon.com/images/M/MV5BMTk0Y2E2MjgtZDBhNi00OTQ3LTkyYzAtNTdmNzRhYTczZWI2XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie,"['Kelly Sheridan', 'Kirby Morrow', 'Tim Curry', 'Peter Kelamis']","['Animation', 'Family', 'Musical']",0.6329113924050633,0.3787878787878788
Christmas Next Door,TV-G,86.0,6.5,,"Family, Romance",2017.0,"A famous MGTOW author is forced to look after his niece and nephew over the holidays and, with the help of his Christmas-loving neighbor, he learns to find love and the Christmas spirit.",Jonathan Wright,"Jesse Metcalfe, Fiona Gubelmann, Brittany Bristow, Jenna Weir, ","2,779",,"https://m.media-amazon.com/images/M/MV5BNGFkMGZmNjgtYTlkMS00ZDM0LWEwOGYtZDY1YmUyNGI2ODRhXkEyXkFqcGdeQXVyNDQ2NDMwNjk@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Jesse Metcalfe', 'Fiona Gubelmann', 'Brittany Bristow', 'Jenna Weir']","['Family', 'Romance']",0.6582278481012659,0.4292929292929293
A Royal Winter,TV-G,84.0,6.4,,"Drama, Family, Romance",2017.0,"While on a last-minute European holiday, a young woman finds herself in the middle of a real-life fairy tale when a chance meeting with a handsome local leads to something more.",Ernie Barbarash,"Merritt Patterson, Jack Donnelly, Samantha Bond, Rhea Bailey, ","3,578",,"https://m.media-amazon.com/images/M/MV5BMDk0MDJiYTgtNjQyNy00MzRkLWEyNTUtYTA0OGVmNGU2ZWI1L2ltYWdlXkEyXkFqcGdeQXVyMzI4MzkxNTY@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Merritt Patterson', 'Jack Donnelly', 'Samantha Bond', 'Rhea Bailey']","['Drama', 'Family', 'Romance']",0.6455696202531647,0.41919191919191917
Long Lost Christmas,TV-G,84.0,6.8,,"Comedy, Drama, Family",2022.0,Interior designer Hailey sets out to surprise her mother Patricia with an unexpected gift related to the extended family for which she has long yearned.,Michael Robison,"Benjamin Ayres, Taylor Cole, Liza Huget, Stefania Indelicato, ",972,,"https://m.media-amazon.com/images/M/MV5BZmJmZjRjMzEtMjk1MC00YTk5LTlhMTktOTg0NmFjZWMxN2M1XkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Benjamin Ayres', 'Taylor Cole', 'Liza Huget', 'Stefania Indelicato']","['Comedy', 'Drama', 'Family']",0.6962025316455697,0.41919191919191917
A Perfect Christmas Pairing,,85.0,5.3,,Romance,2023.0,"Top chef Grace Cooke rips in reviews due to her gastro-scientific approach to cuisine. She takes time off to see her family over Christmas and connects with traveler Asher St. James, where Asher helps her reconnect with her roots.",Dave Thomas,"Ansley Gordon, Chris Connell, Meg Biddle Smith, Nico Alexander, ",164,,"https://m.media-amazon.com/images/M/MV5BNWNiMzEwNzItNzkxNi00OWRiLTg4ODUtMTI4Zjc3OTM3YTFkXkEyXkFqcGdeQXVyMzc4MDUzMTQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Ansley Gordon', 'Chris Connell', 'Meg Biddle Smith', 'Nico Alexander']",['Romance'],0.5063291139240507,0.42424242424242425
